Subject,abstract
11,  Engaging diasporas as international entrepreneurs in developing countries: In search of determinants   Diaspora has been increasingly recognized by practitioners and scholars as an important factor of development in developing economies. Through their remittances and expertise  diaspora members have become an important source of foreign direct investment and managerial capabilities. Although the literature is glutted with examples of the impact of diaspora in fostering international entrepreneurship and reducing poverty  a theoretical foundation and framework is needed to explain this impact. This study explores a theoretical foundation of the diaspora entrepreneurship. A framework identifying the determinants of the diaspora’s international new venture creation in the country of origin is developed. The study suggests that diaspora international entrepreneurship depends on the level of altruistic motivation  need of social recognition  entrepreneurial opportunities  friendliness and receptivity of the home country  as well as integration of and support to immigrants in the host countries. Propositions for diaspora entrepreneurship are developed.
12,  Ethnic ties  motivations  and home country entry strategy of transnational entrepreneurs   Based on 30 in-depth interviews with Indian transnational entrepreneurs (TEs) in the USA and their corresponding India heads of operations  we explore the influence of TEs’ ethnic ties on their motivations and entry strategy in the formation of transnational ventures in their home country. Our findings show the heterogeneity of TEs’ motivations (economic and emotional) and home country entry strategy (proactive and reactive). Further  we find that TEs’ entry strategy is contingent on their (a) use of professional and personal ethnic ties and (b) prior experience of doing business with the home country. These findings contribute to the transnational and immigrant entrepreneurship literatures. 
13, Transnational diasporan entrepreneurs are migrants and their descendants who establish entrepreneurial activities that span the national business environments of their countries of origin and countries of residence. We explore how business incubators contribute to the economic development of emerging markets by organizing their programs to bridge the institutional divides that transnational diaspora entrepreneurs face when establishing their multi-territorial ventures in these markets. Drawing on qualitative fieldwork conducted in the Netherlands during 2007  we present the case study of IntEnt  an incubator providing services exclusively to transnational diasporan entrepreneurs. We apply Bergek and Norrman's (2008) assessment framework to this case  examining IntEnt's goals  model (selection  business support  and mediation activities)  and outcomes. Employing Eisenhardt's case-based theory development approach (1989)  we then leverage case findings to generate theory about the institutional challenges faced by transnational diaspora entrepreneurs and the role that incubators can play in helping these entrepreneurs overcome these challenges.
14, Diasporans are migrants and their descendants who maintain a relationship to their country of origin (Safran  1991). Diasporans who establish new ventures in their countries of origin comprise a special case of international ethnic entrepreneurship.In countries of settlement  diasporans confront institutional environments that often are quite different than those that exist in their countries of origin. We refer to the exposure to and adoption of institutional roles and relationships associated with a new cultural setting as “institutional acculturation.” Most extant work in management and marketing focuses on how a migrant's acculturation affects his/her behavior in the new country of residence. We shift the analytical lens to the country of origin. Utilizing a case study from Nepal  we demonstrate how institutional acculturation can inspire a diaspora entrepreneur to transform institutional arrangements in his/her country of origin and generate dramatic change in society's role expectations of the government  suppliers  and buyers.
15, The spatialities of migrant entrepreneurship have changed dynamically in recent decades. Movements and exchanges transcend national borders more than ever  and transnational migrant entrepreneurship has become a burgeoning field of research. Yet  knowledge is dispersed across disciplines  and an understanding of contemporary spatialities is limited. We review 155 articles published in English  French  German  and Spanish since 2009  thereby providing an overview of existing knowledge on transnational migrant entrepreneurship and suggesting avenues for future research. We identify five current topical areas of research: (1) the business advantages of transnational migrant entrepreneurship  (2) the determinants of becoming a transnational migrant entrepreneur  (3) the transnational networks of migrants  (4) the economic impacts of transnational migrant entrepreneurship on home and host countries  and (5) whether local environments enable or deter entrepreneurial success. Building on our synthesis of the most recent literature  we propose three crucial dimensions which have been under-researched in past and current work  and which address the diversity of geographical locations  spatial connections  and spatial mobilities involved in transnational migrant entrepreneurship. Moreover  we put forward a set of questions for future research which will advance a comprehension of unequal opportunities among transnational migrant entrepreneurs.
16, Transnational entrepreneurship studies highlight the importance of personal profiles  institutions  and networks in creating and succeeding in this type of entrepreneurship. Even so  less is known about migrants whose networks are fragmented and closed  facing challenging environments at home and abroad. This paper aims to study the attributes of transnational entrepreneurs with small and fragmented networks  from post-conflict environments  who can perform an important role in the socioeconomic development and internationalization level of their countries of origin due to the cross border mobilization of resources they encourage. For that reason  the specific case of Colombian transnational entrepreneurs who have been able to overcome those obstacles with their transnational business is analyzed with the intention of understanding how they manage those shortcomings when engaging in transnational entrepreneurship. In aiming to obtain a deeper understanding of their characteristics  similitudes  differences  and motivations  the research uses multiple case studies. The main findings suggest that transnational entrepreneurs form purposeful–strategic networks to compensate their lack of amalgamated social systems  and that they have special qualities that distinguish them from other Colombian migrants and transnational entrepreneurs. Moreover  Colombian transnational entrepreneurs focus their business in the international market  using strategically their knowledge of both the local and foreign environment  while their main interest to do so is not altruistic but business oriented. Governments from post-conflict countries should promote transnational entrepreneurship while facilitating network formation and institutional trust through diverse strategies. Finally  implications for further research are drawn.
17, The objective of this study is to inform and invigorate international business (IB) research on migrant entrepreneurship. Migrant entrepreneurship is an important global phenomenon that is relevant to diverse scholarly conversations. Yet  to date  it has received scant attention in IB compared with research in other disciplines. Our study aims to take stock of existing research on migrant entrepreneurship across eight disciplinary areas. We conducted a thematic analysis of 373 articles. The resulting thematic inventory was organized by the antecedents  success factors and moderators of migrant entrepreneurship. We highlight the implications of this analysis for future research in IB.
18, Despite increased academic attention paid to migration flows in Europe  the gendered nature of transnational migrant entrepreneurial journeys within the context of a family business remains under-researched. We address this gap by investigating how transnational spaces allow women to challenge dominant ideas about their roles  and to claim legitimacy by opening branches of their family business abroad. With extensive longitudinal evidence collected over a seven-year period  we showcase four biographical narratives of women operating transnational family businesses in the UK that had originated in Eastern Europe. Adopting this novel longitudinal approach  we provide insights into how these transnational migrant women entrepreneurs exercise individual agency to overcome structural constraints by developing strategies that prioritize their own business aspirations without fully sacrificing their family ties.
19, Literature on immigrant and ethnic minority entrepreneurship almost exclusively focusses on the west  while neglecting other world regions. This neglect is problematic not only because international migration is on the rise outside the west  but also because it reveals an implicit ethnocentrism and creates particular presumptions about the nature of ethnic minority entrepreneurship that may not be as universally valid as is often presumed. The purpose of this paper is to examine ethnic minority entrepreneurship in non-western contexts to critically assess two of these presumptions  namely that it occurs in the economic margins and within clear ethnic community boundaries. Design/methodology/approach
20, The authors draw on academic literature (including the authors’ own) to develop two case descriptions of ethnic minority entrepreneurship outside the west: the Mennonites in Belize and the Chinese in Cambodia. For each case  the authors describe the historic entrepreneurial trajectory  i.e. the historical emergence of entrepreneurship in light of relevant community and society contexts. Findings The two cases reveal that  in contrast to characterisations of ethnic minority entrepreneurship in the west  the Mennonites in Belize and the Chinese in Cambodia have come to comprise the economic upper class  and their business activities are not confined to ethnic community boundaries. Originality/value The paper is the first to elaborate the importance of studying ethnic minority entrepreneurship outside the west  both as an aim in itself and as a catalyst to work towards a more neutral framework.
